	H(cm)		v0(m/s)	beta	E_k0(J)	tau_c	e*		dE_k/E_k0
1	0.442945	0.358207	0.00981	14.493	0.533281	0.715611
2	0.626418	0.506582	0.01962	11.728	0.48596		0.763843
3	0.767203	0.620433	0.02943	9.998	0.460405	0.788027
4	0.885889	0.716415	0.03924	8.851	0.445981	0.801101
5	0.990454	0.800976	0.04905	8.05	0.437809	0.808323
6	1.08499		0.877425	0.05886	7.459	0.433314	0.812239
7	1.17192		0.947728	0.06867	7	0.431088	0.814163
8	1.25284		1.01316		0.07848	6.631	0.430317	0.814827
9	1.32883		1.07462		0.08829	6.325	0.430512	0.81466
10	1.40071		1.13275		0.0981	6.066	0.431362	0.813927
