H(cm)	v0(m/s)	beta	E_k0(J)	tau_c	e*	dE_k/E_k0	W_diss(J)
0.25	0.221472	0.179104	0.0024525	18.744	0.608973	0.629152	23.2233
0.5	0.313209	0.253291	0.004905	16.816	0.575343	0.668981	34.9218
0.75	0.383601	0.310217	0.0073575	15.509	0.551692	0.695636	44.4745
1	0.442945	0.358207	0.00981	14.493	0.533281	0.715611	52.8294
2	0.626418	0.506582	0.01962	11.728	0.48596	0.763843	79.7476
3	0.767203	0.620433	0.02943	9.998	0.460405	0.788027	100.763
4	0.885889	0.716415	0.03924	8.851	0.445981	0.801101	118.281
5	0.990454	0.800976	0.04905	8.05	0.437809	0.808323	133.435
6	1.08499	0.877425	0.05886	7.459	0.433314	0.812239	146.878
7	1.17192	0.947728	0.06867	7	0.431088	0.814163	159.023
8	1.25284	1.01316	0.07848	6.631	0.430317	0.814827	170.141
9	1.32883	1.07462	0.08829	6.325	0.430512	0.81466	180.425
10	1.40071	1.13275	0.0981	6.066	0.431362	0.813927	190.013
11	1.46908	1.18804	0.10791	5.843	0.432666	0.8128	199.012
12	1.53441	1.24087	0.11772	5.648	0.434285	0.811397	207.502
13	1.59706	1.29154	0.12753	5.475	0.436125	0.809795	215.549
14	1.65735	1.34029	0.13734	5.321	0.438119	0.808052	223.204
15	1.71552	1.38733	0.14715	5.182	0.440218	0.806208	230.511
16	1.77178	1.43283	0.15696	5.055	0.442388	0.804293	237.505
17	1.82631	1.47693	0.16677	4.94	0.444602	0.802329	244.217
18	1.87926	1.51975	0.17658	4.833	0.446841	0.800333	250.672
19	1.93075	1.56139	0.18639	4.735	0.449091	0.798317	256.892
20	1.98091	1.60195	0.1962	4.644	0.45134	0.796292	262.897
