t(s)	x(m)	v(m/s)
0	0	0.990454
3e-07	2.97136e-07	0.990454
6e-07	5.94273e-07	0.990454
9e-07	8.91409e-07	0.990454
1.2e-06	1.18855e-06	0.990454
1.5e-06	1.48568e-06	0.990454
1.8e-06	1.78282e-06	0.990454
2.1e-06	2.07995e-06	0.990453
2.4e-06	2.37709e-06	0.990453
2.7e-06	2.67423e-06	0.990453
3e-06	2.97136e-06	0.990452
3.3e-06	3.2685e-06	0.990452
3.6e-06	3.56563e-06	0.990451
3.9e-06	3.86277e-06	0.990451
4.2e-06	4.1599e-06	0.99045
4.5e-06	4.45704e-06	0.99045
4.8e-06	4.75417e-06	0.990449
5.1e-06	5.05131e-06	0.990448
5.4e-06	5.34844e-06	0.990448
5.7e-06	5.64558e-06	0.990447
6e-06	5.94271e-06	0.990446
6.3e-06	6.23984e-06	0.990445
6.6e-06	6.53698e-06	0.990444
6.9e-06	6.83411e-06	0.990443
7.2e-06	7.13124e-06	0.990442
7.5e-06	7.42837e-06	0.990441
7.8e-06	7.72551e-06	0.99044
8.1e-06	8.02264e-06	0.990439
8.4e-06	8.31977e-06	0.990438
8.7e-06	8.6169e-06	0.990437
9e-06	8.91403e-06	0.990435
9.3e-06	9.21116e-06	0.990434
9.6e-06	9.50829e-06	0.990433
9.9e-06	9.80542e-06	0.990431
1.02e-05	1.01026e-05	0.99043
1.05e-05	1.03997e-05	0.990428
1.08e-05	1.06968e-05	0.990427
1.11e-05	1.09939e-05	0.990425
1.14e-05	1.12911e-05	0.990424
1.17e-05	1.15882e-05	0.990422
1.2e-05	1.18853e-05	0.99042
1.23e-05	1.21824e-05	0.990419
1.26e-05	1.24796e-05	0.990417
1.29e-05	1.27767e-05	0.990415
1.32e-05	1.30738e-05	0.990413
1.35e-05	1.33709e-05	0.990411
1.38e-05	1.36681e-05	0.990409
1.41e-05	1.39652e-05	0.990407
1.44e-05	1.42623e-05	0.990405
1.47e-05	1.45594e-05	0.990403
1.5e-05	1.48565e-05	0.990401
1.53e-05	1.51537e-05	0.990399
1.56e-05	1.54508e-05	0.990397
1.59e-05	1.57479e-05	0.990394
1.62e-05	1.6045e-05	0.990392
1.65e-05	1.63421e-05	0.99039
1.68e-05	1.66393e-05	0.990387
1.71e-05	1.69364e-05	0.990385
1.74e-05	1.72335e-05	0.990383
1.77e-05	1.75306e-05	0.99038
1.8e-05	1.78277e-05	0.990378
1.83e-05	1.81248e-05	0.990375
1.86e-05	1.84219e-05	0.990372
1.89e-05	1.87191e-05	0.99037
1.92e-05	1.90162e-05	0.990367
1.95e-05	1.93133e-05	0.990364
1.98e-05	1.96104e-05	0.990361
2.01e-05	1.99075e-05	0.990359
2.04e-05	2.02046e-05	0.990356
2.07e-05	2.05017e-05	0.990353
2.1e-05	2.07988e-05	0.99035
2.13e-05	2.10959e-05	0.990347
2.16e-05	2.1393e-05	0.990344
2.19e-05	2.16901e-05	0.990341
2.22e-05	2.19872e-05	0.990337
2.25e-05	2.22843e-05	0.990334
2.28e-05	2.25814e-05	0.990331
2.31e-05	2.28785e-05	0.990328
2.34e-05	2.31756e-05	0.990324
2.37e-05	2.34727e-05	0.990321
2.4e-05	2.37698e-05	0.990318
2.43e-05	2.40669e-05	0.990314
2.46e-05	2.4364e-05	0.990311
2.49e-05	2.46611e-05	0.990307
2.52e-05	2.49582e-05	0.990304
2.55e-05	2.52553e-05	0.9903
2.58e-05	2.55524e-05	0.990296
2.61e-05	2.58495e-05	0.990293
2.64e-05	2.61465e-05	0.990289
2.67e-05	2.64436e-05	0.990285
2.7e-05	2.67407e-05	0.990281
2.73e-05	2.70378e-05	0.990277
2.76e-05	2.73349e-05	0.990273
2.79e-05	2.7632e-05	0.990269
2.82e-05	2.7929e-05	0.990265
2.85e-05	2.82261e-05	0.990261
2.88e-05	2.85232e-05	0.990257
2.91e-05	2.88203e-05	0.990253
2.94e-05	2.91173e-05	0.990249
2.97e-05	2.94144e-05	0.990245
3e-05	2.97115e-05	0.990241
3.03e-05	3.00086e-05	0.990236
3.06e-05	3.03056e-05	0.990232
3.09e-05	3.06027e-05	0.990227
3.12e-05	3.08998e-05	0.990223
3.15e-05	3.11968e-05	0.990219
3.18e-05	3.14939e-05	0.990214
3.21e-05	3.1791e-05	0.990209
3.24e-05	3.2088e-05	0.990205
3.27e-05	3.23851e-05	0.9902
3.3e-05	3.26822e-05	0.990195
3.33e-05	3.29792e-05	0.990191
3.36e-05	3.32763e-05	0.990186
3.39e-05	3.35733e-05	0.990181
3.42e-05	3.38704e-05	0.990176
3.45e-05	3.41674e-05	0.990171
3.48e-05	3.44645e-05	0.990166
3.51e-05	3.47615e-05	0.990161
3.54e-05	3.50586e-05	0.990156
3.57e-05	3.53556e-05	0.990151
3.6e-05	3.56527e-05	0.990146
3.63e-05	3.59497e-05	0.990141
3.66e-05	3.62467e-05	0.990136
3.69e-05	3.65438e-05	0.99013
3.72e-05	3.68408e-05	0.990125
3.75e-05	3.71379e-05	0.99012
3.78e-05	3.74349e-05	0.990114
3.81e-05	3.77319e-05	0.990109
3.84e-05	3.8029e-05	0.990103
3.87e-05	3.8326e-05	0.990098
3.9e-05	3.8623e-05	0.990092
3.93e-05	3.89201e-05	0.990087
3.96e-05	3.92171e-05	0.990081
3.99e-05	3.95141e-05	0.990075
4.02e-05	3.98111e-05	0.99007
4.05e-05	4.01081e-05	0.990064
4.08e-05	4.04052e-05	0.990058
