t(s)	x(m)	v(m/s)	F(N)
0	0	1.25284	0
3e-07	3.75851e-07	1.25284	47.8143
6e-07	7.51702e-07	1.25284	95.6437
9e-07	1.12755e-06	1.25284	143.488
1.2e-06	1.5034e-06	1.25284	191.348
1.5e-06	1.87925e-06	1.25284	239.222
1.8e-06	2.25511e-06	1.25284	287.112
2.1e-06	2.63096e-06	1.25284	335.017
2.4e-06	3.00681e-06	1.25284	382.938
2.7e-06	3.38266e-06	1.25283	430.874
3e-06	3.75851e-06	1.25283	478.825
3.3e-06	4.13436e-06	1.25283	526.791
3.6e-06	4.51021e-06	1.25283	574.773
3.9e-06	4.88606e-06	1.25283	622.771
4.2e-06	5.26191e-06	1.25283	670.784
4.5e-06	5.63776e-06	1.25283	718.813
4.8e-06	6.01361e-06	1.25283	766.858
5.1e-06	6.38945e-06	1.25283	814.918
5.4e-06	6.7653e-06	1.25283	862.994
5.7e-06	7.14115e-06	1.25283	911.086
6e-06	7.517e-06	1.25283	959.193
6.3e-06	7.89285e-06	1.25282	1007.32
6.6e-06	8.26869e-06	1.25282	1055.46
6.9e-06	8.64454e-06	1.25282	1103.61
7.2e-06	9.02039e-06	1.25282	1151.78
7.5e-06	9.39623e-06	1.25282	1199.97
7.8e-06	9.77208e-06	1.25282	1248.17
8.1e-06	1.01479e-05	1.25282	1296.39
8.4e-06	1.05238e-05	1.25282	1344.63
8.7e-06	1.08996e-05	1.25281	1392.88
9e-06	1.12755e-05	1.25281	1441.15
9.3e-06	1.16513e-05	1.25281	1489.44
9.6e-06	1.20271e-05	1.25281	1537.74
9.9e-06	1.2403e-05	1.25281	1586.06
1.02e-05	1.27788e-05	1.25281	1634.39
1.05e-05	1.31547e-05	1.2528	1682.74
1.08e-05	1.35305e-05	1.2528	1731.11
1.11e-05	1.39064e-05	1.2528	1779.5
1.14e-05	1.42822e-05	1.2528	1827.9
1.17e-05	1.4658e-05	1.2528	1876.31
1.2e-05	1.50339e-05	1.25279	1924.75
1.23e-05	1.54097e-05	1.25279	1973.2
1.26e-05	1.57855e-05	1.25279	2021.67
1.29e-05	1.61614e-05	1.25279	2070.15
1.32e-05	1.65372e-05	1.25278	2118.66
1.35e-05	1.69131e-05	1.25278	2167.18
1.38e-05	1.72889e-05	1.25278	2215.71
1.41e-05	1.76647e-05	1.25278	2264.27
1.44e-05	1.80406e-05	1.25277	2312.84
1.47e-05	1.84164e-05	1.25277	2361.42
1.5e-05	1.87922e-05	1.25277	2410.03
1.53e-05	1.9168e-05	1.25277	2458.65
1.56e-05	1.95439e-05	1.25276	2507.29
1.59e-05	1.99197e-05	1.25276	2555.95
1.62e-05	2.02955e-05	1.25276	2604.62
1.65e-05	2.06714e-05	1.25275	2653.32
1.68e-05	2.10472e-05	1.25275	2702.03
1.71e-05	2.1423e-05	1.25275	2750.75
1.74e-05	2.17988e-05	1.25275	2799.5
1.77e-05	2.21747e-05	1.25274	2848.26
1.8e-05	2.25505e-05	1.25274	2897.04
1.83e-05	2.29263e-05	1.25274	2945.84
1.86e-05	2.33021e-05	1.25273	2994.65
1.89e-05	2.36779e-05	1.25273	3043.49
1.92e-05	2.40538e-05	1.25273	3092.34
1.95e-05	2.44296e-05	1.25272	3141.21
1.98e-05	2.48054e-05	1.25272	3190.1
2.01e-05	2.51812e-05	1.25271	3239
2.04e-05	2.5557e-05	1.25271	3287.93
2.07e-05	2.59328e-05	1.25271	3336.87
2.1e-05	2.63086e-05	1.2527	3385.83
2.13e-05	2.66845e-05	1.2527	3434.81
2.16e-05	2.70603e-05	1.2527	3483.81
2.19e-05	2.74361e-05	1.25269	3532.82
2.22e-05	2.78119e-05	1.25269	3581.85
2.25e-05	2.81877e-05	1.25268	3630.91
2.28e-05	2.85635e-05	1.25268	3679.98
2.31e-05	2.89393e-05	1.25268	3729.07
2.34e-05	2.93151e-05	1.25267	3778.17
2.37e-05	2.96909e-05	1.25267	3827.3
2.4e-05	3.00667e-05	1.25266	3876.45
2.43e-05	3.04425e-05	1.25266	3925.61
2.46e-05	3.08183e-05	1.25265	3974.79
2.49e-05	3.11941e-05	1.25265	4023.99
2.52e-05	3.15699e-05	1.25264	4073.21
2.55e-05	3.19457e-05	1.25264	4122.45
2.58e-05	3.23215e-05	1.25264	4171.71
2.61e-05	3.26973e-05	1.25263	4220.99
2.64e-05	3.3073e-05	1.25263	4270.28
2.67e-05	3.34488e-05	1.25262	4319.6
2.7e-05	3.38246e-05	1.25262	4368.93
2.73e-05	3.42004e-05	1.25261	4418.29
2.76e-05	3.45762e-05	1.25261	4467.66
2.79e-05	3.4952e-05	1.2526	4517.05
2.82e-05	3.53277e-05	1.2526	4566.46
2.85e-05	3.57035e-05	1.25259	4615.89
2.88e-05	3.60793e-05	1.25259	4665.34
2.91e-05	3.64551e-05	1.25258	4714.81
2.94e-05	3.68308e-05	1.25258	4764.3
2.97e-05	3.72066e-05	1.25257	4813.81
3e-05	3.75824e-05	1.25256	4863.34
3.03e-05	3.79582e-05	1.25256	4912.89
3.06e-05	3.83339e-05	1.25255	4962.46
3.09e-05	3.87097e-05	1.25255	5012.04
3.12e-05	3.90854e-05	1.25254	5061.65
3.15e-05	3.94612e-05	1.25254	5111.28
3.18e-05	3.9837e-05	1.25253	5160.93
3.21e-05	4.02127e-05	1.25252	5210.59
3.24e-05	4.05885e-05	1.25252	5260.28
3.27e-05	4.09642e-05	1.25251	5309.99
3.3e-05	4.134e-05	1.25251	5359.72
3.33e-05	4.17157e-05	1.2525	5409.46
3.36e-05	4.20915e-05	1.25249	5459.23
3.39e-05	4.24672e-05	1.25249	5509.02
3.42e-05	4.2843e-05	1.25248	5558.83
3.45e-05	4.32187e-05	1.25248	5608.66
3.48e-05	4.35945e-05	1.25247	5658.51
3.51e-05	4.39702e-05	1.25246	5708.37
3.54e-05	4.43459e-05	1.25246	5758.26
3.57e-05	4.47217e-05	1.25245	5808.18
3.6e-05	4.50974e-05	1.25244	5858.11
3.63e-05	4.54732e-05	1.25244	5908.06
3.66e-05	4.58489e-05	1.25243	5958.03
3.69e-05	4.62246e-05	1.25242	6008.02
3.72e-05	4.66003e-05	1.25242	6058.04
3.75e-05	4.69761e-05	1.25241	6108.07
3.78e-05	4.73518e-05	1.2524	6158.13
3.81e-05	4.77275e-05	1.2524	6208.2
3.84e-05	4.81032e-05	1.25239	6258.3
3.87e-05	4.84789e-05	1.25238	6308.42
3.9e-05	4.88546e-05	1.25237	6358.56
3.93e-05	4.92304e-05	1.25237	6408.72
3.96e-05	4.96061e-05	1.25236	6458.9
3.99e-05	4.99818e-05	1.25235	6509.1
4.02e-05	5.03575e-05	1.25235	6559.33
4.05e-05	5.07332e-05	1.25234	6609.57
4.08e-05	5.11089e-05	1.25233	6659.84
4.11e-05	5.14846e-05	1.25232	6710.13
4.14e-05	5.18603e-05	1.25232	6760.44
4.17e-05	5.2236e-05	1.25231	6810.77
4.2e-05	5.26117e-05	1.2523	6861.12
4.23e-05	5.29873e-05	1.25229	6911.5
4.26e-05	5.3363e-05	1.25228	6961.89
4.29e-05	5.37387e-05	1.25228	7012.31
4.32e-05	5.41144e-05	1.25227	7062.75
4.35e-05	5.44901e-05	1.25226	7113.21
4.38e-05	5.48658e-05	1.25225	7163.69
4.41e-05	5.52414e-05	1.25224	7214.2
4.44e-05	5.56171e-05	1.25224	7264.73
4.47e-05	5.59928e-05	1.25223	7315.27
4.5e-05	5.63684e-05	1.25222	7365.85
4.53e-05	5.67441e-05	1.25221	7416.44
4.56e-05	5.71198e-05	1.2522	7467.05
4.59e-05	5.74954e-05	1.25219	7517.69
4.62e-05	5.78711e-05	1.25219	7568.35
4.65e-05	5.82467e-05	1.25218	7619.03
4.68e-05	5.86224e-05	1.25217	7669.73
4.71e-05	5.8998e-05	1.25216	7720.46
4.74e-05	5.93737e-05	1.25215	7771.21
4.77e-05	5.97493e-05	1.25214	7821.98
4.8e-05	6.0125e-05	1.25213	7872.77
4.83e-05	6.05006e-05	1.25212	7923.59
4.86e-05	6.08762e-05	1.25212	7974.43
4.89e-05	6.12519e-05	1.25211	8025.29
4.92e-05	6.16275e-05	1.2521	8076.17
4.95e-05	6.20031e-05	1.25209	8127.08
4.98e-05	6.23788e-05	1.25208	8178.01
5.01e-05	6.27544e-05	1.25207	8228.96
5.04e-05	6.313e-05	1.25206	8279.94
5.07e-05	6.35056e-05	1.25205	8330.94
5.1e-05	6.38812e-05	1.25204	8381.96
5.13e-05	6.42569e-05	1.25203	8433
5.16e-05	6.46325e-05	1.25202	8484.07
5.19e-05	6.50081e-05	1.25201	8535.16
5.22e-05	6.53837e-05	1.252	8586.27
5.25e-05	6.57593e-05	1.25199	8637.41
5.28e-05	6.61349e-05	1.25198	8688.57
5.31e-05	6.65105e-05	1.25197	8739.75
5.34e-05	6.6886e-05	1.25196	8790.96
5.37e-05	6.72616e-05	1.25195	8842.19
5.4e-05	6.76372e-05	1.25194	8893.44
5.43e-05	6.80128e-05	1.25193	8944.72
5.46e-05	6.83884e-05	1.25192	8996.02
5.49e-05	6.8764e-05	1.25191	9047.35
5.52e-05	6.91395e-05	1.2519	9098.69
5.55e-05	6.95151e-05	1.25189	9150.07
5.58e-05	6.98907e-05	1.25188	9201.46
5.61e-05	7.02662e-05	1.25187	9252.88
5.64e-05	7.06418e-05	1.25186	9304.32
5.67e-05	7.10173e-05	1.25185	9355.79
5.7e-05	7.13929e-05	1.25184	9407.28
5.73e-05	7.17685e-05	1.25183	9458.8
